Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HUSAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ FADHLI SHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO GHANI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NASRUL ALI HASAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D),Nama Daerah Mengundi,Jenis Undi,RAW_DM
24,022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),5,431,67,280,68,13,428,3,0,PENGKALAN PASIR ,UNDI BIASA,PENGKALAN PASIR 022/12/06
24,022/12/06,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (2),6,501,70,321,99,8,498,3,0,PENGKALAN PASIR ,UNDI BIASA,PENGKALAN PASIR 022/12/06
25,022/12/07,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (1),1,269,128,74,58,4,264,5,0,BANDAR PASIR MAS ,UNDI BIASA,BANDAR PASIR MAS 022/12/07
25,022/12/07,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (1),2,279,107,113,55,3,278,1,0,BANDAR PASIR MAS ,UNDI BIASA,BANDAR PASIR MAS 022/12/07
25,022/12/07,SEKOLAH KEBANGSAAN DATO' ABDUL HAMID (1),3,411,130,199,73,7,409,2,0,BANDAR PASIR MAS ,UNDI BIASA,BANDAR PASIR MAS 022/12/07
26,022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,1,289,19,196,66,3,284,5,0,SLOW MACHANG ,UNDI BIASA,SLOW MACHANG 022/12/08
26,022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,2,361,36,244,75,3,358,3,0,SLOW MACHANG ,UNDI BIASA,SLOW MACHANG 022/12/08
26,022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,3,339,38,219,75,4,336,3,0,SLOW MACHANG ,UNDI BIASA,SLOW MACHANG 022/12/08
26,022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,4,522,47,374,94,1,516,6,0,SLOW MACHANG ,UNDI BIASA,SLOW MACHANG 022/12/08
26,022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,5,473,41,344,81,4,470,3,0,SLOW MACHANG ,UNDI BIASA,SLOW MACHANG 022/12/08
26,022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,6,451,38,348,59,3,448,3,0,SLOW MACHANG ,UNDI BIASA,SLOW MACHANG 022/12/08
26,022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,7,498,38,382,73,2,495,3,0,SLOW MACHANG ,UNDI BIASA,SLOW MACHANG 022/12/08
26,022/12/08,SEKOLAH KEBANGSAAN TANJONG CHENAK,8,597,38,462,95,0,595,2,0,SLOW MACHANG ,UNDI BIASA,SLOW MACHANG 022/12/08
27,022/12/09,SEKOLAH KEBANGSAAN MEKASAR,5,236,24,151,52,3,230,6,0,KASA ,UNDI BIASA,KASA 022/12/09
27,022/12/09,SEKOLAH KEBANGSAAN MEKASAR,6,332,66,195,59,3,323,9,0,KASA ,UNDI BIASA,KASA 022/12/09
27,022/12/09,SEKOLAH KEBANGSAAN MEKASAR,7,336,51,228,51,3,333,3,0,KASA ,UNDI BIASA,KASA 022/12/09
27,022/12/09,SEKOLAH KEBANGSAAN MEKASAR,8,477,58,338,64,8,468,9,0,KASA ,UNDI BIASA,KASA 022/12/09
27,022/12/09,SEKOLAH KEBANGSAAN MEKASAR,9,451,72,308,62,5,447,4,0,KASA ,UNDI BIASA,KASA 022/12/09
27,022/12/09,SEKOLAH KEBANGSAAN MEKASAR,10,419,51,330,34,3,418,1,0,KASA ,UNDI BIASA,KASA 022/12/09
27,022/12/09,SEKOLAH KEBANGSAAN MEKASAR,11,432,61,324,44,3,432,0,0,KASA ,UNDI BIASA,KASA 022/12/09
27,022/12/09,SEKOLAH KEBANGSAAN MEKASAR,12,472,78,333,60,1,472,0,0,KASA ,UNDI BIASA,KASA 022/12/09
27,022/12/09,SEKOLAH KEBANGSAAN MEKASAR,13,557,84,395,68,2,549,8,0,KASA ,UNDI BIASA,KASA 022/12/09
28,022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,1,297,13,197,86,0,296,1,0,BANGGOL CHICHA ,UNDI BIASA,BANGGOL CHICHA 022/13/01
28,022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,2,360,9,232,108,6,355,5,0,BANGGOL CHICHA ,UNDI BIASA,BANGGOL CHICHA 022/13/01
28,022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,3,460,34,302,116,5,457,2,1,BANGGOL CHICHA ,UNDI BIASA,BANGGOL CHICHA 022/13/01
28,022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,4,442,27,339,70,4,440,2,0,BANGGOL CHICHA ,UNDI BIASA,BANGGOL CHICHA 022/13/01
28,022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,5,401,20,288,77,9,394,7,0,BANGGOL CHICHA ,UNDI BIASA,BANGGOL CHICHA 022/13/01
28,022/13/01,SEKOLAH KEBANGSAAN BANGGOL CHICHA,6,402,18,298,83,2,401,1,0,BANGGOL CHICHA ,UNDI BIASA,BANGGOL CHICHA 022/13/01
